Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,MNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,InsertionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,DeletionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,InversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,DuplicationTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,MixedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationIntrachromosomalTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationIntrachromosomalWithInversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationInterchromosomalTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationInterchromosomalWithInversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationInterchromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationInterchromosomalWithInversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationInterHomologousChromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationIntrachromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationIntrachromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationInterchromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationIntrachromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationInterchromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationIntrachromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationInterchromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationIntrachromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationInterchromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationIntrachromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,homDelOverlapOthers,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,hetDelOverlapOthers,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,maleChrXHet,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,cnvTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,dupDelTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.types,AltTest,breakendTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsim,com.bina.varsim.types,AltTest,altTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Varsim,com.bina.varsim.types,VCFInfoTest,VCFInfoParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Varsim,com.bina.varsim.types.stats,MapRatioRecordSumTest,oneTPTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Varsim,com.bina.varsim.util,VCFparserTest,deletionParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsim,com.bina.varsim.util,VCFparserTest,insertionParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsim,com.bina.varsim.util,VCFparserTest,homopolymerInsertionParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsim,com.bina.varsim.util,VCFparserTest,TrimmingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
